sku,name,description,price,currency,category,subcategory,brand,color,size,material,style_tags,season,gender,occasion,image_url,stock_status,rating,popularity_score
SKU-00014,Levi's White Mini Dress,Summer Mini Dress for women. Cotton material with sophisticated style. Perfect for casual occasions.,80,USD,Dresses,Mini Dress,Levi's,White,XL,Cotton,sophisticated,Summer,Women,Casual,https://placeholder.com/products/dresses-14.jpg,Low Stock,4.9,76
SKU-00015,Mango Red Midi Dress,Winter Midi Dress for men. Silk material with romantic style. Perfect for travel occasions.,145.96,USD,Dresses,Midi Dress,Mango,Red,XS,Silk,romantic,Winter,Men,Travel,https://placeholder.com/products/dresses-15.jpg,In Stock,4.8,46
SKU-00016,Nike Brown Shorts,Spring Shorts for men. Silk material with classic style. Perfect for wedding occasions.,101.05,USD,Bottoms,Shorts,Nike,Brown,XL,Silk,classic,Spring,Men,Wedding,https://placeholder.com/products/bottoms-16.jpg,In Stock,3.2,38
SKU-00017,H&M Yellow Blazer,Fall Blazer for unisex. Linen material with oversized style. Perfect for sports occasions.,71.44,USD,Outerwear,Blazer,H&M,Yellow,L,Linen,oversized,Fall,Unisex,Sports,https://placeholder.com/products/outerwear-17.jpg,Out of Stock,4.6,45
SKU-00018,Zara Burgundy T-Shirt,Fall T-Shirt for unisex. Polyester material with vintage style. Perfect for wedding occasions.,67.96,USD,Tops,T-Shirt,Zara,Burgundy,XXL,Polyester,vintage,Fall,Unisex,Wedding,https://placeholder.com/products/tops-18.jpg,Low Stock,3.3,71
SKU-00019,Forever 21 Yellow Bomber,Winter Bomber for unisex. Cotton material with sporty style. Perfect for sports occasions.,127.49,USD,Outerwear,Bomber,Forever 21,Yellow,XXL,Cotton,sporty,Winter,Unisex,Sports,https://placeholder.com/products/outerwear-19.jpg,In Stock,4.5,50
SKU-00020,Zara Blue Watch,Fall Watch for unisex. Wool material with classic style. Perfect for travel occasions.,36.17,USD,Accessories,Watch,Zara,Blue,XXL,Wool,classic,Fall,Unisex,Travel,https://placeholder.com/products/accessories-20.jpg,Out of Stock,3.4,55
SKU-00021,Zara Beige Sweater,Summer Sweater for unisex. Leather material with modern style. Perfect for formal occasions.,67.6,USD,Tops,Sweater,Zara,Beige,S,Leather,modern,Summer,Unisex,Formal,https://placeholder.com/products/tops-21.jpg,In Stock,4.1,89
SKU-00022,Mango Red Midi Dress,Summer Midi Dress for men. Blend material with elegant style. Perfect for casual occasions.,82.41,USD,Dresses,Midi Dress,Mango,Red,S,Blend,elegant,Summer,Men,Casual,https://placeholder.com/products/dresses-22.jpg,Out of Stock,4.3,86
SKU-00023,H&M Navy Evening Gown,Spring Evening Gown for unisex. Leather material with sophisticated style. Perfect for formal occasions.,190.42,USD,Dresses,Evening Gown,H&M,Navy,XL,Leather,sophisticated,Spring,Unisex,Formal,https://placeholder.com/products/dresses-23.jpg,In Stock,4.2,27
SKU-00024,H&M Green Mini Dress,Winter Mini Dress for unisex. Polyester material with elegant style. Perfect for formal occasions.,81.62,USD,Dresses,Mini Dress,H&M,Green,XL,Polyester,elegant,Winter,Unisex,Formal,https://placeholder.com/products/dresses-24.jpg,Low Stock,3.7,63
SKU-00025,Levi's Red Scarf,Spring Scarf for women. Linen material with trendy style. Perfect for wedding occasions.,81.14,USD,Accessories,Scarf,Levi's,Red,S,Linen,trendy,Spring,Women,Wedding,https://placeholder.com/products/accessories-25.jpg,In Stock,4.3,37
SKU-00026,Pull&Bear Burgundy Blazer,Fall Blazer for unisex. Cotton material with urban style. Perfect for office occasions.,85.35,USD,Outerwear,Blazer,Pull&Bear,Burgundy,M,Cotton,urban,Fall,Unisex,Office,https://placeholder.com/products/outerwear-26.jpg,Out of Stock,3.6,77
SKU-00027,Zara Black Windbreaker,Fall Windbreaker for men. Leather material with classic style. Perfect for casual occasions.,114.16,USD,Outerwear,Windbreaker,Zara,Black,XS,Leather,classic,Fall,Men,Casual,https://placeholder.com/products/outerwear-27.jpg,Out of Stock,3.7,73
SKU-00028,Levi's Blue Hat,Summer Hat for men. Polyester material with functional style. Perfect for formal occasions.,69.47,USD,Accessories,Hat,Levi's,Blue,L,Polyester,functional,Summer,Men,Formal,https://placeholder.com/products/accessories-28.jpg,Out of Stock,3,84
SKU-00029,Uniqlo Brown Boots,Fall Boots for men. Blend material with elegant style. Perfect for wedding occasions.,46.25,USD,Footwear,Boots,Uniqlo,Brown,M,Blend,elegant,Fall,Men,Wedding,https://placeholder.com/products/footwear-29.jpg,In Stock,4.8,12
SKU-00030,Zara Brown Parka,Winter Parka for unisex. Silk material with trendy style. Perfect for wedding occasions.,287.16,USD,Outerwear,Parka,Zara,Brown,XS,Silk,trendy,Winter,Unisex,Wedding,https://placeholder.com/products/outerwear-30.jpg,In Stock,3.4,76
SKU-00031,Adidas Black Watch,Summer Watch for women. Wool material with statement style. Perfect for travel occasions.,18.44,USD,Accessories,Watch,Adidas,Black,XL,Wool,statement,Summer,Women,Travel,https://placeholder.com/products/accessories-31.jpg,Out of Stock,3.8,70
SKU-00032,Uniqlo Green Hoodie,Spring Hoodie for men. Leather material with streetwear style. Perfect for party occasions.,75.03,USD,Tops,Hoodie,Uniqlo,Green,M,Leather,streetwear,Spring,Men,Party,https://placeholder.com/products/tops-32.jpg,In Stock,4.2,62
SKU-00033,Mango Burgundy Sweater,Winter Sweater for unisex. Wool material with minimalist style. Perfect for casual occasions.,52.89,USD,Tops,Sweater,Mango,Burgundy,XS,Wool,minimalist,Winter,Unisex,Casual,https://placeholder.com/products/tops-33.jpg,Low Stock,4.5,49
SKU-00034,Nike Burgundy Parka,All-Season Parka for men. Leather material with trendy style. Perfect for wedding occasions.,210.17,USD,Outerwear,Parka,Nike,Burgundy,M,Leather,trendy,All-Season,Men,Wedding,https://placeholder.com/products/outerwear-34.jpg,Out of Stock,4.7,70
SKU-00035,Gap Cream Blazer,Spring Blazer for men. Linen material with classic style. Perfect for office occasions.,184.05,USD,Outerwear,Blazer,Gap,Cream,XXL,Linen,classic,Spring,Men,Office,https://placeholder.com/products/outerwear-35.jpg,Out of Stock,3.3,80
SKU-00036,Gap Green Blouse,All-Season Blouse for women. Wool material with minimalist style. Perfect for wedding occasions.,41.57,USD,Tops,Blouse,Gap,Green,L,Wool,minimalist,All-Season,Women,Wedding,https://placeholder.com/products/tops-36.jpg,In Stock,4.7,9
SKU-00037,Zara Brown Boots,Winter Boots for men. Linen material with statement style. Perfect for party occasions.,95.3,USD,Footwear,Boots,Zara,Brown,XXL,Linen,statement,Winter,Men,Party,https://placeholder.com/products/footwear-37.jpg,Low Stock,4.3,98
SKU-00038,Mango Black Sweater,Fall Sweater for women. Polyester material with modern style. Perfect for travel occasions.,61.1,USD,Tops,Sweater,Mango,Black,XXL,Polyester,modern,Fall,Women,Travel,https://placeholder.com/products/tops-38.jpg,Out of Stock,4.1,79
SKU-00039,Adidas Olive Watch,All-Season Watch for men. Denim material with classic style. Perfect for party occasions.,39.5,USD,Accessories,Watch,Adidas,Olive,M,Denim,classic,All-Season,Men,Party,https://placeholder.com/products/accessories-39.jpg,In Stock,3.2,70
SKU-00040,Nike Burgundy Sweater,Fall Sweater for unisex. Cotton material with vintage style. Perfect for wedding occasions.,41.59,USD,Tops,Sweater,Nike,Burgundy,XS,Cotton,vintage,Fall,Unisex,Wedding,https://placeholder.com/products/tops-40.jpg,Low Stock,4,67
SKU-00041,Zara Green Chinos,All-Season Chinos for men. Leather material with high-waist style. Perfect for sports occasions.,104.42,USD,Bottoms,Chinos,Zara,Green,XS,Leather,high-waist,All-Season,Men,Sports,https://placeholder.com/products/bottoms-41.jpg,In Stock,3.6,49
SKU-00042,Nike Black T-Shirt,Spring T-Shirt for men. Polyester material with casual style. Perfect for office occasions.,39.71,USD,Tops,T-Shirt,Nike,Black,M,Polyester,casual,Spring,Men,Office,https://placeholder.com/products/tops-42.jpg,Low Stock,4.8,100
SKU-00043,Nike Red Skirt,Fall Skirt for unisex. Blend material with slim-fit style. Perfect for wedding occasions.,75.55,USD,Bottoms,Skirt,Nike,Red,XS,Blend,slim-fit,Fall,Unisex,Wedding,https://placeholder.com/products/bottoms-43.jpg,Out of Stock,4.7,72
SKU-00044,Nike Red T-Shirt,Winter T-Shirt for women. Blend material with casual style. Perfect for wedding occasions.,77.68,USD,Tops,T-Shirt,Nike,Red,M,Blend,casual,Winter,Women,Wedding,https://placeholder.com/products/tops-44.jpg,Out of Stock,4.2,22
SKU-00045,Mango Cream Sandals,Spring Sandals for unisex. Polyester material with statement style. Perfect for travel occasions.,69.08,USD,Footwear,Sandals,Mango,Cream,L,Polyester,statement,Spring,Unisex,Travel,https://placeholder.com/products/footwear-45.jpg,In Stock,4.9,25
SKU-00046,Forever 21 Burgundy Hoodie,Fall Hoodie for men. Synthetic material with modern style. Perfect for office occasions.,43.91,USD,Tops,Hoodie,Forever 21,Burgundy,XS,Synthetic,modern,Fall,Men,Office,https://placeholder.com/products/tops-46.jpg,Low Stock,3.5,34
SKU-00047,Levi's Blue Hoodie,Spring Hoodie for men. Cotton material with streetwear style. Perfect for casual occasions.,46.2,USD,Tops,Hoodie,Levi's,Blue,XL,Cotton,streetwear,Spring,Men,Casual,https://placeholder.com/products/tops-47.jpg,Low Stock,3.6,44
SKU-00048,Pull&Bear Blue Jacket,Fall Jacket for unisex. Synthetic material with classic style. Perfect for wedding occasions.,251.01,USD,Outerwear,Jacket,Pull&Bear,Blue,S,Synthetic,classic,Fall,Unisex,Wedding,https://placeholder.com/products/outerwear-48.jpg,Low Stock,4.1,49
SKU-00049,Uniqlo Green Scarf,Fall Scarf for men. Blend material with classic style. Perfect for sports occasions.,24.28,USD,Accessories,Scarf,Uniqlo,Green,XL,Blend,classic,Fall,Men,Sports,https://placeholder.com/products/accessories-49.jpg,Out of Stock,4.1,15
SKU-00050,Uniqlo Navy Jacket,Spring Jacket for men. Blend material with oversized style. Perfect for formal occasions.,147.78,USD,Outerwear,Jacket,Uniqlo,Navy,XXL,Blend,oversized,Spring,Men,Formal,https://placeholder.com/products/outerwear-50.jpg,Out of Stock,3.3,77
SKU-00051,Forever 21 Yellow Shorts,Fall Shorts for unisex. Linen material with high-waist style. Perfect for office occasions.,68.18,USD,Bottoms,Shorts,Forever 21,Yellow,XL,Linen,high-waist,Fall,Unisex,Office,https://placeholder.com/products/bottoms-51.jpg,Low Stock,4.6,32
SKU-00052,Gap Olive Jeans,All-Season Jeans for unisex. Polyester material with slim-fit style. Perfect for casual occasions.,76.51,USD,Bottoms,Jeans,Gap,Olive,XS,Polyester,slim-fit,All-Season,Unisex,Casual,https://placeholder.com/products/bottoms-52.jpg,Out of Stock,3.1,56
SKU-00053,Gap Gray Sunglasses,Fall Sunglasses for unisex. Cotton material with minimalist style. Perfect for wedding occasions.,42.72,USD,Accessories,Sunglasses,Gap,Gray,XXL,Cotton,minimalist,Fall,Unisex,Wedding,https://placeholder.com/products/accessories-53.jpg,Out of Stock,3.8,44
SKU-00054,Pull&Bear Brown Hat,All-Season Hat for women. Silk material with classic style. Perfect for sports occasions.,98.86,USD,Accessories,Hat,Pull&Bear,Brown,L,Silk,classic,All-Season,Women,Sports,https://placeholder.com/products/accessories-54.jpg,Out of Stock,4.6,15
SKU-00055,Zara Blue Blazer,All-Season Blazer for unisex. Denim material with urban style. Perfect for sports occasions.,200.9,USD,Outerwear,Blazer,Zara,Blue,M,Denim,urban,All-Season,Unisex,Sports,https://placeholder.com/products/outerwear-55.jpg,In Stock,4.2,78
SKU-00056,Uniqlo Cream Sunglasses,Summer Sunglasses for men. Leather material with classic style. Perfect for formal occasions.,23.71,USD,Accessories,Sunglasses,Uniqlo,Cream,L,Leather,classic,Summer,Men,Formal,https://placeholder.com/products/accessories-56.jpg,Out of Stock,4.8,26
SKU-00057,Gap Green Heels,Winter Heels for unisex. Wool material with athletic style. Perfect for casual occasions.,74.88,USD,Footwear,Heels,Gap,Green,L,Wool,athletic,Winter,Unisex,Casual,https://placeholder.com/products/footwear-57.jpg,Out of Stock,4.4,90
SKU-00058,Mango Gray Hat,All-Season Hat for women. Leather material with classic style. Perfect for office occasions.,91.63,USD,Accessories,Hat,Mango,Gray,M,Leather,classic,All-Season,Women,Office,https://placeholder.com/products/accessories-58.jpg,In Stock,3.6,63
SKU-00059,H&M Black Sneakers,Spring Sneakers for men. Silk material with casual style. Perfect for sports occasions.,64.1,USD,Footwear,Sneakers,H&M,Black,M,Silk,casual,Spring,Men,Sports,https://placeholder.com/products/footwear-59.jpg,Low Stock,3.4,64
SKU-00060,Gap Navy Skirt,Winter Skirt for unisex. Linen material with slim-fit style. Perfect for formal occasions.,115.77,USD,Bottoms,Skirt,Gap,Navy,XL,Linen,slim-fit,Winter,Unisex,Formal,https://placeholder.com/products/bottoms-60.jpg,Low Stock,4.8,4
SKU-00061,Levi's Black Heels,Fall Heels for unisex. Silk material with comfortable style. Perfect for party occasions.,113.7,USD,Footwear,Heels,Levi's,Black,XS,Silk,comfortable,Fall,Unisex,Party,https://placeholder.com/products/footwear-61.jpg,In Stock,3.5,86
SKU-00062,Forever 21 Olive Tank Top,Spring Tank Top for unisex. Wool material with minimalist style. Perfect for formal occasions.,31.75,USD,Tops,Tank Top,Forever 21,Olive,M,Wool,minimalist,Spring,Unisex,Formal,https://placeholder.com/products/tops-62.jpg,Out of Stock,3.9,43
SKU-00063,Nike Beige T-Shirt,Winter T-Shirt for unisex. Polyester material with casual style. Perfect for party occasions.,44.13,USD,Tops,T-Shirt,Nike,Beige,XXL,Polyester,casual,Winter,Unisex,Party,https://placeholder.com/products/tops-63.jpg,In Stock,4,97
SKU-00064,Pull&Bear Red Boots,All-Season Boots for women. Denim material with casual style. Perfect for formal occasions.,91.66,USD,Footwear,Boots,Pull&Bear,Red,XXL,Denim,casual,All-Season,Women,Formal,https://placeholder.com/products/footwear-64.jpg,Low Stock,4.1,22
SKU-00065,Nike Yellow Blouse,All-Season Blouse for women. Leather material with minimalist style. Perfect for formal occasions.,26.59,USD,Tops,Blouse,Nike,Yellow,XL,Leather,minimalist,All-Season,Women,Formal,https://placeholder.com/products/tops-65.jpg,In Stock,3.9,77
SKU-00066,Pull&Bear Pink Pants,Fall Pants for men. Synthetic material with slim-fit style. Perfect for travel occasions.,112.14,USD,Bottoms,Pants,Pull&Bear,Pink,L,Synthetic,slim-fit,Fall,Men,Travel,https://placeholder.com/products/bottoms-66.jpg,In Stock,3.6,27
SKU-00067,Mango Pink Pants,Fall Pants for men. Blend material with relaxed style. Perfect for office occasions.,112.34,USD,Bottoms,Pants,Mango,Pink,XL,Blend,relaxed,Fall,Men,Office,https://placeholder.com/products/bottoms-67.jpg,In Stock,4.4,36
SKU-00068,Forever 21 Cream Jeans,Winter Jeans for men. Wool material with slim-fit style. Perfect for wedding occasions.,71.84,USD,Bottoms,Jeans,Forever 21,Cream,L,Wool,slim-fit,Winter,Men,Wedding,https://placeholder.com/products/bottoms-68.jpg,Out of Stock,3.8,29
SKU-00069,Adidas Burgundy Flats,Fall Flats for men. Leather material with statement style. Perfect for formal occasions.,71.39,USD,Footwear,Flats,Adidas,Burgundy,M,Leather,statement,Fall,Men,Formal,https://placeholder.com/products/footwear-69.jpg,Low Stock,3.2,94
SKU-00070,H&M Olive Windbreaker,All-Season Windbreaker for women. Linen material with classic style. Perfect for formal occasions.,80.18,USD,Outerwear,Windbreaker,H&M,Olive,XS,Linen,classic,All-Season,Women,Formal,https://placeholder.com/products/outerwear-70.jpg,In Stock,4.1,13
SKU-00071,Zara Gray Pants,Spring Pants for unisex. Linen material with slim-fit style. Perfect for casual occasions.,105.2,USD,Bottoms,Pants,Zara,Gray,XS,Linen,slim-fit,Spring,Unisex,Casual,https://placeholder.com/products/bottoms-71.jpg,Out of Stock,3.2,20
SKU-00072,H&M Olive Boots,Summer Boots for unisex. Leather material with athletic style. Perfect for party occasions.,67.67,USD,Footwear,Boots,H&M,Olive,S,Leather,athletic,Summer,Unisex,Party,https://placeholder.com/products/footwear-72.jpg,Out of Stock,3.7,68
SKU-00073,Forever 21 Green Shorts,Spring Shorts for women. Denim material with relaxed style. Perfect for wedding occasions.,117.1,USD,Bottoms,Shorts,Forever 21,Green,XS,Denim,relaxed,Spring,Women,Wedding,https://placeholder.com/products/bottoms-73.jpg,Low Stock,3.9,6
SKU-00074,Gap Gray Parka,Fall Parka for women. Cotton material with classic style. Perfect for casual occasions.,68.16,USD,Outerwear,Parka,Gap,Gray,L,Cotton,classic,Fall,Women,Casual,https://placeholder.com/products/outerwear-74.jpg,In Stock,4.8,60
SKU-00075,Levi's Brown Shirt,Winter Shirt for unisex. Linen material with minimalist style. Perfect for sports occasions.,79.87,USD,Tops,Shirt,Levi's,Brown,M,Linen,minimalist,Winter,Unisex,Sports,https://placeholder.com/products/tops-75.jpg,Out of Stock,4.8,30
SKU-00076,Forever 21 Beige Leggings,Spring Leggings for unisex. Wool material with high-waist style. Perfect for sports occasions.,54.4,USD,Bottoms,Leggings,Forever 21,Beige,M,Wool,high-waist,Spring,Unisex,Sports,https://placeholder.com/products/bottoms-76.jpg,Out of Stock,4.3,95
SKU-00077,Gap Brown Polo,All-Season Polo for women. Linen material with minimalist style. Perfect for wedding occasions.,32.24,USD,Tops,Polo,Gap,Brown,XXL,Linen,minimalist,All-Season,Women,Wedding,https://placeholder.com/products/tops-77.jpg,In Stock,3.4,41
SKU-00078,Forever 21 Yellow Windbreaker,Fall Windbreaker for men. Cotton material with oversized style. Perfect for formal occasions.,86.7,USD,Outerwear,Windbreaker,Forever 21,Yellow,S,Cotton,oversized,Fall,Men,Formal,https://placeholder.com/products/outerwear-78.jpg,Out of Stock,3.6,25
SKU-00079,Forever 21 Green Scarf,All-Season Scarf for men. Leather material with trendy style. Perfect for party occasions.,73.98,USD,Accessories,Scarf,Forever 21,Green,M,Leather,trendy,All-Season,Men,Party,https://placeholder.com/products/accessories-79.jpg,Low Stock,4,48
SKU-00080,Pull&Bear Beige Hat,All-Season Hat for unisex. Wool material with statement style. Perfect for travel occasions.,69.16,USD,Accessories,Hat,Pull&Bear,Beige,L,Wool,statement,All-Season,Unisex,Travel,https://placeholder.com/products/accessories-80.jpg,In Stock,3.8,13
SKU-00081,Mango Cream Maxi Dress,Summer Maxi Dress for men. Wool material with elegant style. Perfect for formal occasions.,108.45,USD,Dresses,Maxi Dress,Mango,Cream,XXL,Wool,elegant,Summer,Men,Formal,https://placeholder.com/products/dresses-81.jpg,Out of Stock,4.7,44
SKU-00082,Mango Red Cocktail Dress,Summer Cocktail Dress for women. Cotton material with chic style. Perfect for travel occasions.,147.48,USD,Dresses,Cocktail Dress,Mango,Red,XL,Cotton,chic,Summer,Women,Travel,https://placeholder.com/products/dresses-82.jpg,Out of Stock,4,55
SKU-00083,Uniqlo Gray Coat,Summer Coat for men. Polyester material with sporty style. Perfect for formal occasions.,277.71,USD,Outerwear,Coat,Uniqlo,Gray,M,Polyester,sporty,Summer,Men,Formal,https://placeholder.com/products/outerwear-83.jpg,Low Stock,4.2,92
SKU-00084,Gap Pink Midi Dress,Fall Midi Dress for unisex. Leather material with elegant style. Perfect for travel occasions.,84.66,USD,Dresses,Midi Dress,Gap,Pink,S,Leather,elegant,Fall,Unisex,Travel,https://placeholder.com/products/dresses-84.jpg,In Stock,4.6,14
SKU-00085,Mango Navy Hoodie,Winter Hoodie for men. Denim material with vintage style. Perfect for office occasions.,79.91,USD,Tops,Hoodie,Mango,Navy,XL,Denim,vintage,Winter,Men,Office,https://placeholder.com/products/tops-85.jpg,Low Stock,3.6,42
SKU-00086,Gap Black Sandals,Summer Sandals for unisex. Denim material with elegant style. Perfect for party occasions.,73.68,USD,Footwear,Sandals,Gap,Black,L,Denim,elegant,Summer,Unisex,Party,https://placeholder.com/products/footwear-86.jpg,In Stock,4.3,16
SKU-00087,Levi's Blue Loafers,Spring Loafers for women. Denim material with statement style. Perfect for party occasions.,127.38,USD,Footwear,Loafers,Levi's,Blue,XXL,Denim,statement,Spring,Women,Party,https://placeholder.com/products/footwear-87.jpg,Low Stock,3.7,67
SKU-00088,Mango Navy Blouse,Spring Blouse for women. Cotton material with modern style. Perfect for casual occasions.,41.62,USD,Tops,Blouse,Mango,Navy,XXL,Cotton,modern,Spring,Women,Casual,https://placeholder.com/products/tops-88.jpg,In Stock,3.2,25
SKU-00089,Zara Brown Parka,All-Season Parka for unisex. Synthetic material with urban style. Perfect for wedding occasions.,261.64,USD,Outerwear,Parka,Zara,Brown,L,Synthetic,urban,All-Season,Unisex,Wedding,https://placeholder.com/products/outerwear-89.jpg,In Stock,3.9,90
SKU-00090,H&M Brown Jeans,All-Season Jeans for men. Wool material with slim-fit style. Perfect for wedding occasions.,77.77,USD,Bottoms,Jeans,H&M,Brown,M,Wool,slim-fit,All-Season,Men,Wedding,https://placeholder.com/products/bottoms-90.jpg,Low Stock,4.2,10
SKU-00091,Pull&Bear Blue Sunglasses,All-Season Sunglasses for men. Denim material with minimalist style. Perfect for sports occasions.,52.2,USD,Accessories,Sunglasses,Pull&Bear,Blue,L,Denim,minimalist,All-Season,Men,Sports,https://placeholder.com/products/accessories-91.jpg,Out of Stock,3.6,98
SKU-00092,Levi's White Windbreaker,Winter Windbreaker for men. Linen material with classic style. Perfect for sports occasions.,178.74,USD,Outerwear,Windbreaker,Levi's,White,S,Linen,classic,Winter,Men,Sports,https://placeholder.com/products/outerwear-92.jpg,Low Stock,3.5,60
SKU-00093,Uniqlo Brown Scarf,Winter Scarf for men. Leather material with trendy style. Perfect for casual occasions.,67.91,USD,Accessories,Scarf,Uniqlo,Brown,M,Leather,trendy,Winter,Men,Casual,https://placeholder.com/products/accessories-93.jpg,Low Stock,4,26
SKU-00094,H&M Blue Watch,Fall Watch for women. Synthetic material with classic style. Perfect for casual occasions.,21.16,USD,Accessories,Watch,H&M,Blue,XS,Synthetic,classic,Fall,Women,Casual,https://placeholder.com/products/accessories-94.jpg,Out of Stock,3.9,66
SKU-00095,Levi's Olive Hoodie,Winter Hoodie for men. Linen material with modern style. Perfect for travel occasions.,77.67,USD,Tops,Hoodie,Levi's,Olive,XL,Linen,modern,Winter,Men,Travel,https://placeholder.com/products/tops-95.jpg,In Stock,3.9,11
SKU-00096,Forever 21 Blue Heels,Summer Heels for unisex. Synthetic material with statement style. Perfect for casual occasions.,94.61,USD,Footwear,Heels,Forever 21,Blue,M,Synthetic,statement,Summer,Unisex,Casual,https://placeholder.com/products/footwear-96.jpg,Low Stock,4.6,6
SKU-00097,H&M Blue Mini Dress,Fall Mini Dress for unisex. Leather material with romantic style. Perfect for office occasions.,184.74,USD,Dresses,Mini Dress,H&M,Blue,XL,Leather,romantic,Fall,Unisex,Office,https://placeholder.com/products/dresses-97.jpg,Out of Stock,4.3,78
SKU-00098,H&M Gray Hoodie,Winter Hoodie for unisex. Wool material with vintage style. Perfect for party occasions.,63.9,USD,Tops,Hoodie,H&M,Gray,XXL,Wool,vintage,Winter,Unisex,Party,https://placeholder.com/products/tops-98.jpg,Low Stock,4.2,37
SKU-00099,Nike Blue Pants,Winter Pants for women. Denim material with classic style. Perfect for wedding occasions.,83.04,USD,Bottoms,Pants,Nike,Blue,L,Denim,classic,Winter,Women,Wedding,https://placeholder.com/products/bottoms-99.jpg,Low Stock,5,82
SKU-00100,Uniqlo Burgundy Watch,Summer Watch for women. Cotton material with statement style. Perfect for formal occasions.,69.64,USD,Accessories,Watch,Uniqlo,Burgundy,S,Cotton,statement,Summer,Women,Formal,https://placeholder.com/products/accessories-100.jpg,Out of Stock,3.4,13
SKU-00101,Mango Pink Bomber,Fall Bomber for unisex. Leather material with classic style. Perfect for casual occasions.,169.4,USD,Outerwear,Bomber,Mango,Pink,S,Leather,classic,Fall,Unisex,Casual,https://placeholder.com/products/outerwear-101.jpg,Low Stock,3.2,37
SKU-00102,Nike Navy Pants,All-Season Pants for women. Leather material with relaxed style. Perfect for travel occasions.,96.86,USD,Bottoms,Pants,Nike,Navy,XS,Leather,relaxed,All-Season,Women,Travel,https://placeholder.com/products/bottoms-102.jpg,Out of Stock,3.7,37
